or_crc||or_nom||or_id||or_dpt||or_nat||or_typ||typ_code
5||CNE DE GROIX||1879||56||Commune||Commune / BP||0101-00
5||CNE DE GUIPAVAS||2511||29||Commune||Commune / BP||0101-00
5||CNE DE HENVIC||2507||29||Commune||Commune / BP||0101-00
5||CNE DE LARMOR BADEN||1843||56||Commune||Commune / BP||0101-00
5||CNE DE LE CAMBOUT||2933||22||Commune||Commune / BP||0101-00
5||CNE DE L'ILE MOLENE||2502||29||Commune||Commune / BP||0101-00
5||CNE DE MINIAC SOUS BECHEREL||2125||35||Commune||Commune / BP||0101-00
5||CNE DE MONTFORT SUR MEU||2118||35||Commune||Commune / BP||0101-00
5||CNE DE PLOUGOUMELEN||1782||56||Commune||Commune / BP||0101-00
5||CNE DE ROSTRENEN||2703||22||Commune||Commune / BP||0101-00
5||CNE DE ST AUBIN DU PAVAIL||2054||35||Commune||Commune / BP||0101-00
5||CNE DE ST GLEN||2674||22||Commune||Commune / BP||0101-00
5||CNE DE ST JACQUES DE LA LANDE||2027||35||Commune||Commune / BP||0101-00
5||CNE DE ST QUAY PORTRIEUX||2646||22||Commune||Commune / BP||0101-00
5||CNE DE VERN SUR SEICHE||1960||35||Commune||Commune / BP||0101-00
5||CNE D'IRVILLAC||2500||29||Commune||Commune / BP||0101-00
5||COMMUNAUTE DE CNES PAYS ST AUBIN CORMI||1573||35||Et. pub. local et BA des Collectiv. territoriales et des EPL||Communauté de communes||0403-00
5||DEPARTEMENT DU MORBIHAN||1683||56||Département||Département / BP||0201-00
5||LORIENT AGGLO||1543||56||Et. pub. local et BA des Collectiv. territoriales et des EPL||Communauté d'agglomération||0402-00
5||RENNES METROPOLE||1586||35||Et. pub. local et BA des Collectiv. territoriales et des EPL||Métropole||0405-00
5||S.I DU GUILVINEC- FOYER LOGEMENT DU MENEZ KERGOFF||97||29||Et. pub. local et BA des Collectiv. territoriales et des EPL||Syndicat à vocation unique||0421-10
5||S.I ECOLE DE MUSIQUE DU PAYS DE BROCELIANDE(ouest 35 musique)||1047||35||Et. pub. local et BA des Collectiv. territoriales et des EPL||Syndicat à vocation unique||0421-10
5||S.I ENTRAIDE DE LA COTE DE GRANIT ROSE||1375||22||Et. pub. local et BA des Collectiv. territoriales et des EPL||Syndicat à vocation unique||0421-10
5||S.I.E.A DE KERNEVEC||1482||22||Et. pub. local et BA des Collectiv. territoriales et des EPL||Syndicat à vocation unique||0421-10
5||S.I.V.U des rives de l'Elorn||1191||29||Et. pub. local et BA des Collectiv. territoriales et des EPL||Syndicat à vocation unique||0421-10
5||S.I.V.U SPANC DU CANTON DE CHATEAUNEUF||3541||35||Et. pub. local et BA des Collectiv. territoriales et des EPL||Syndicat à vocation unique||0421-10
5||SM D'AURAY - BELZ - QUIBERON||843||56||Et. pub. local et BA des Collectiv. territoriales et des EPL||Syndicat à vocation multiple||0422-00
5||S.M DE L'AEROPORT DE LANNION COTE DE GRANIT||1320||22||Et. pub. local et BA des Collectiv. territoriales et des EPL||Syndicat mixte communal (L5711.1 CGCT)||0421-20
5||S.M.I.C.T.O.M DES FORETS||1095||35||Et. pub. local et BA des Collectiv. territoriales et des EPL||Syndicat à vocation unique||0421-10
5||VANNES AGGLO||1542||56||Et. pub. local et BA des Collectiv. territoriales et des EPL||Communauté d'agglomération||0402-00
8||ASSOCIATION COSTA SERENA FM||1381||20||Association loi de 1901||Association||1210-00
8||CC DE LA COSTA VERDE||204||20||Et. pub. local et BA des Collectiv. territoriales et des EPL||Communauté de communes||0403-00
8||CENTRE HOSPITALIER D'AJACCIO||76||20||Et. sanit. et sociaux et ESMS-BP et BA||Centres Hospitaliers Généraux (Budget Principal)||0503-00
8||CENTRE HOSPITALIER DE BASTIA||73||20||Et. sanit. et sociaux et ESMS-BP et BA||Centres Hospitaliers Généraux (Budget Principal)||0503-00
8||CENTRE HOSPITALIER DE SARTENE||70||20||Et. sanit. et sociaux et ESMS-BP et BA||Hôpitaux locaux (Budget Principal)||0505-00
8||COLLECTIVITE TERRITORIALE DE CORSE (CTC)||234||20||Région||Région / BP||0301-00
8||COMMISSION SYNDICALE PROPRIETE INDIVISE DES COMMUNES D'ALERIA ET TALLONE||1481||20||Et. pub. local et BA des Collectiv. territoriales et des EPL||Commission syndicale pour la gestion de biens indivis||0421-80
8||COMMUNAUTE DE COMMUNES DE L'ORIENTE||761||20||Et. pub. local et BA des Collectiv. territoriales et des EPL||Communauté de communes||0403-00
8||COMMUNAUTE DE COMMUNES DU SARTENAIS VALINCU||701||20||Et. pub. local et BA des Collectiv. territoriales et des EPL||Communauté de communes||0403-00
8||COMMUNE DE ALBERTACCE||620||20||Commune||Commune / BP||0101-00
8||COMMUNE DE AMPRIANI||612||20||Commune||Commune / BP||0101-00
8||COMMUNE DE CARDO TORGIA||562||20||Commune||Commune / BP||0101-00
8||COMMUNE DE CAURO||542||20||Commune||Commune / BP||0101-00
8||COMMUNE DE COGNOCOLI MONTICHI||536||20||Commune||Commune / BP||0101-00
8||COMMUNE DE EVISA||519||20||Commune||Commune / BP||0101-00
8||COMMUNE DE LOPIGNA||482||20||Commune||Commune / BP||0101-00
8||COMMUNE DE MONTEGROSSO||459||20||Commune||Commune / BP||0101-00
8||COMMUNE DE ORTALE||427||20||Commune||Commune / BP||0101-00
8||COMMUNE DE OTA||423||20||Commune||Commune / BP||0101-00
8||COMMUNE DE PALNECA||421||20||Commune||Commune / BP||0101-00
8||COMMUNE DE PASTRICCIOLA||417||20||Commune||Commune / BP||0101-00
8||COMMUNE DE PIEDICROCE||401||20||Commune||Commune / BP||0101-00
8||COMMUNE DE POGGIO DI VENACO||381||20||Commune||Commune / BP||0101-00
8||COMMUNE DE SAN GAVINO DI FIUMORBO||250||20||Commune||Commune / BP||0101-00
8||COMMUNE DE SANTA LUCIA DI TALLANO||309||20||Commune||Commune / BP||0101-00
8||COMMUNE DE SANTA REPARATA DI MORIANI||299||20||Commune||Commune / BP||0101-00
8||COMMUNE DE SARTENE||346||20||Commune||Commune / BP||0101-00
8||COMMUNE DE SERRIERA||339||20||Commune||Commune / BP||0101-00
8||COMMUNE DE SOLARO||335||20||Commune||Commune / BP||0101-00
8||COMMUNE DE TAVACO||293||20||Commune||Commune / BP||0101-00
8||COMMUNE DE VENTISERI||275||20||Commune||Commune / BP||0101-00
8||COMMUNE DE VIVARIO||262||20||Commune||Commune / BP||0101-00
8||COMMUNE DE VOLPAJOLA||261||20||Commune||Commune / BP||0101-00
8||COMMUNE DE ZICAVO||257||20||Commune||Commune / BP||0101-00
8||OFFICE DES TRANSPORTS DE LA REGION CORSE||54||20||Et. pub. local et BA des Collectiv. territoriales et des EPL||Service régional||0430-00
8||OFFICE FONCIER DE LA CORSE||1461||20||Et. pub. local et BA des Collectiv. territoriales et des EPL||Etablissement à caractère industriel et commercial||0433-20
8||SI ASSAINISSEMENT DU BASSIN D'AREGNO||88||20||Et. pub. local et BA des Collectiv. territoriales et des EPL||Syndicat à vocation unique||0421-10
8||SI DE MEZZANA||233||20||Et. pub. local et BA des Collectiv. territoriales et des EPL||Syndicat à vocation multiple||0422-00
8||SI DU BOZIO||188||20||Et. pub. local et BA des Collectiv. territoriales et des EPL||Syndicat à vocation multiple||0422-00
8||SI DU CAVO||253||20||Et. pub. local et BA des Collectiv. territoriales et des EPL||Syndicat à vocation unique||0421-10
8||SI OM CRUZZINI||118||20||Et. pub. local et BA des Collectiv. territoriales et des EPL||Syndicat à vocation unique||0421-10
8||SI TV HAUT TARAVO||163||20||Et. pub. local et BA des Collectiv. territoriales et des EPL||Syndicat à vocation unique||0421-10
8||SIVOM HAUT TARAVO||226||20||Et. pub. local et BA des Collectiv. territoriales et des EPL||Syndicat à vocation multiple||0422-00
8||SIVOM NOCETA ROSPIGLIANI||214||20||Et. pub. local et BA des Collectiv. territoriales et des EPL||Syndicat à vocation multiple||0422-00
8||SIVOM PIEVE SAMPIERO||231||20||Et. pub. local et BA des Collectiv. territoriales et des EPL||Syndicat à vocation multiple||0422-00
10||AFU (ASA) COUR DU COMMERCE SAINT ANDRE PARIS||8504||75||Et. pub. local et BA des Collectiv. territoriales et des EPL||Association Foncière Urbaine||0436-20
10||ASSISTANCE PUBLIQUE HOPITAUX DE PARIS (HOP)||1628||75||Et. sanit. et sociaux et ESMS-BP et BA||Centres Hospitaliers Généraux (Budget Principal)||0503-00
10||CDE PARIS 17E||1632||75||Et. pub. local et BA des Collectiv. territoriales et des EPL||Caisse des Ecoles||0432-00
10||CH INTERCOMMUNAL ROBERT BALLANGER AULNAY SOUS BOIS (HOP)||933||93||EPN||Centres Hospitaliers Généraux (Budget Principal) (EPN)||0913-00
10||CHS MAISON BLANCHE PARIS 20 ème||931||75||EPN||Centres Hospitaliers Spécialisés (Budget Principal) (EPN)||0913-20
10||CLG JACQUES PREVERT PARIS 6ème||5353||75||Et. pub. local d'enseignement||Collège||1310-00
10||CNE ARGENTEUIL||3017||95||Commune||Commune / BP||0101-00
10||CNE ARRONVILLE||3015||95||Commune||Commune / BP||0101-00
10||CNE ASNIERES SUR SEINE||3145||92||Commune||Commune / BP||0101-00
10||CNE AUTHON LA PLAINE||3342||91||Commune||Commune / BP||0101-00
10||CNE AUVERS ST GEORGES||3340||91||Commune||Commune / BP||0101-00
10||CNE BAGNOLET||3108||93||Commune||Commune / BP||0101-00
10||CNE BEAUCHAMP||3007||95||Commune||Commune / BP||0101-00
10||CNE BONDY||3105||93||Commune||Commune / BP||0101-00
10||CNE BOUGIVAL||3576||78||Commune||Commune / BP||0101-00
10||CNE BREAU||4074||77||Commune||Commune / BP||0101-00
10||CNE BRIIS SOUS FORGES||3316||91||Commune||Commune / BP||0101-00
10||CNE BUNO BONNEVAUX||3311||91||Commune||Commune / BP||0101-00
10||CNE BURCY||4070||77||Commune||Commune / BP||0101-00
10||CNE BUSSY ST GEORGES||4068||77||Commune||Commune / BP||0101-00
10||CNE CACHAN||3064||94||Commune||Commune / BP||0101-00
10||CNE CERGY||2986||95||Commune||Commune / BP||0101-00
10||CNE CERNY||3309||91||Commune||Commune / BP||0101-00
10||CNE CHALIFERT||4053||77||Commune||Commune / BP||0101-00
10||CNE CHAMPDEUIL||4047||77||Commune||Commune / BP||0101-00
10||CNE CHENNEVIERES LES LOUVRES||2977||95||Commune||Commune / BP||0101-00
10||CNE CHEVILLY LARUE||3060||94||Commune||Commune / BP||0101-00
10||CNE COURPALAY||3995||77||Commune||Commune / BP||0101-00
10||CNE CRETEIL||3058||94||Commune||Commune / BP||0101-00
10||CNE DEUIL LA BARRE||2968||95||Commune||Commune / BP||0101-00
10||CNE ERMONT||2958||95||Commune||Commune / BP||0101-00
10||CNE ETRECHY||3277||91||Commune||Commune / BP||0101-00
10||CNE FONTENAY TRESIGNY||3941||77||Commune||Commune / BP||0101-00
10||CNE GARGES LES GONESSE||2947||95||Commune||Commune / BP||0101-00
10||CNE GOUSSAINVILLE||2943||95||Commune||Commune / BP||0101-00
10||CNE GRIGNY||3262||91||Commune||Commune / BP||0101-00
10||CNE LA COURNEUVE||3101||93||Commune||Commune / BP||0101-00
10||CNE LA GRANDE PAROISSE||3923||77||Commune||Commune / BP||0101-00
10||CNE LA TRETOIRE||3669||77||Commune||Commune / BP||0101-00
10||CNE LE BLANC MESNIL||3107||93||Commune||Commune / BP||0101-00
10||CNE LE BOURGET||3104||93||Commune||Commune / BP||0101-00
10||CNE LE CHATELET EN BRIE||4029||77||Commune||Commune / BP||0101-00
10||CNE LES GRANGES LE ROI||3263||91||Commune||Commune / BP||0101-00
10||CNE LES PAVILLONS SOUS BOIS||3085||93||Commune||Commune / BP||0101-00
10||CNE LESCHEROLLES||3887||77||Commune||Commune / BP||0101-00
10||CNE LONGPONT SUR ORGE||3245||91||Commune||Commune / BP||0101-00
10||CNE LUMIGNY NESLES ORMEAUX||3870||77||Commune||Commune / BP||0101-00
10||CNE MONTIGNY LES CORMEILLES||2908||95||Commune||Commune / BP||0101-00
10||CNE MONTMAGNY||2906||95||Commune||Commune / BP||0101-00
10||CNE MONTREUIL SOUS BOIS||3091||93||Commune||Commune / BP||0101-00
10||CNE NEUILLY SUR MARNE||3089||93||Commune||Commune / BP||0101-00
10||CNE OZOIR LA FERRIERE||3787||77||Commune||Commune / BP||0101-00
10||CNE PALAISEAU||3212||91||Commune||Commune / BP||0101-00
10||CNE PIERREFITTE SUR SEINE||3084||93||Commune||Commune / BP||0101-00
10||CNE PONTOISE||2883||95||Commune||Commune / BP||0101-00
10||CNE SALINS||3702||77||Commune||Commune / BP||0101-00
10||CNE SARTROUVILLE||3383||78||Commune||Commune / BP||0101-00
10||CNE SAVIGNY LE TEMPLE||3696||77||Commune||Commune / BP||0101-00
10||CNE SOUZY LA BRICHE||3174||91||Commune||Commune / BP||0101-00
10||CNE ST CYR SOUS DOURDAN||3194||91||Commune||Commune / BP||0101-00
10||CNE ST GERMAIN LES ARPAJON||3191||91||Commune||Commune / BP||0101-00
10||CNE ST GRATIEN||2871||95||Commune||Commune / BP||0101-00
10||CNE ST MAUR DES FOSSES||3035||94||Commune||Commune / BP||0101-00
10||CNE SURESNES||3115||92||Commune||Commune / BP||0101-00
10||CNE VILLIERS LE MAHIEU||3352||78||Commune||Commune / BP||0101-00
10||CNE VIRY CHATILLON||3150||91||Commune||Commune / BP||0101-00
10||COMITE REGIONAL TOURISME ILE DE FRANCE||9204||75||Association loi de 1901||Association||1210-00
10||COMMUNAUTE AGG ARGENTEUIL BEZONS (CAAB)||41||95||Et. pub. local et BA des Collectiv. territoriales et des EPL||Communauté d'agglomération||0402-00
10||COMMUNAUTE AGG CERGY PONTOISE (ancien SAN)||2692||95||Et. pub. local et BA des Collectiv. territoriales et des EPL||Communauté d'agglomération||0402-00
10||COMMUNAUTE AGG LES LACS DE L'ESSONNE (CALE)||2714||91||Et. pub. local et BA des Collectiv. territoriales et des EPL||Communauté d'agglomération||0402-00
10||COMMUNAUTE AGG MARNE ET GONDOIRE||2783||77||Et. pub. local et BA des Collectiv. territoriales et des EPL||Communauté d'agglomération||0402-00
10||COMMUNAUTE AGG PARIS VALLEE DE LA MARNE (CAPVDLM)||10745||77||Et. pub. local et BA des Collectiv. territoriales et des EPL||Communauté d'agglomération||0402-00
10||COMMUNAUTE AGG PLATEAU DE SACLAY (CAPS) (Fusion avec 091 109 979)||2728||91||Et. pub. local et BA des Collectiv. territoriales et des EPL||Communauté d'agglomération||0402-00
10||COMMUNAUTE AGG ST QUENTIN EN YVELINES||2752||78||Et. pub. local et BA des Collectiv. territoriales et des EPL||Communauté d'agglomération||0402-00
10||COMMUNAUTE AGGLO MARNE ET CHANTEREINE (EX COMMUNAUTE CNES) (fusion avec 077 221 988 et 077 028 954)||2776||77||Et. pub. local et BA des Collectiv. territoriales et des EPL||Communauté d'agglomération||0402-00
10||COMMUNAUTE CNES DE L'ARPAJONNAIS (fusion avec 091 113 984)||2718||91||Et. pub. local et BA des Collectiv. territoriales et des EPL||Communauté de communes||0403-00
10||COMMUNAUTE CNES PLAINES ET MONTS DE FRANCE||9044||77||Et. pub. local et BA des Collectiv. territoriales et des EPL||Communauté de communes||0403-00
10||COMMUNAUTE CNES SEINE ECOLES (COCOSE)||2814||77||Et. pub. local et BA des Collectiv. territoriales et des EPL||Communauté de communes||0403-00
10||COMMUNAUTE CNES VALLEE DE L OISE ET DES IMPRESSIONNISTES (CCVOI)||2678||95||Et. pub. local et BA des Collectiv. territoriales et des EPL||Communauté de communes||0403-00
10||DEP ESSONNE||2830||91||Département||Département / BP||0201-00
10||DEP PARIS||2834||75||Département||Département / BP||0201-00
10||DEP SEINE ET MARNE||2832||77||Département||Département / BP||0201-00
10||DEP SEINE ST DENIS||2828||93||Département||Département / BP||0201-00
10||DEP VAL D'OISE||2826||95||Département||Département / BP||0201-00
10||DEP YVELINES||2831||78||Département||Département / BP||0201-00
10||GHI LE RAINCY MONTFERMEIL||924||93||EPN||Centres Hospitaliers Généraux (Budget Principal) (EPN)||0913-00
10||LPO VAN DONGEN LAGNY + GRETA||5194||77||Et. pub. local d'enseignement||Lycée||1320-00
10||MDR LONG SEJOUR LES ABONDANCES BOULOGNE BILLANCOURT||1025||92||Et. sanit. et sociaux et ESMS-BP et BA||Maison de Retraite (Budget général)||0530-00
10||METROPOLE DU GRAND PARIS (MGP)||11004||75||Et. pub. local et BA des Collectiv. territoriales et des EPL||Métropole||0405-00
10||OFFICE DU TOURISME ET DES CONGRES DE PARIS (OTCP)||5661||75||Association loi de 1901||Association||1210-00
10||OPHLM AUBERVILLIERS||625||93||Office d'HLM ou OPAC-BP et BA||OPHLM (Office public d'HLM)||0610-00
10||OPHLM LEVALLOIS PERRET||646||92||Office d'HLM ou OPAC-BP et BA||OPHLM (Office public d'HLM)||0610-00
10||PARIS HABITAT||10384||75||Organisme public ne relevant pas de la comptabilité publique||Office public d'habitation (OPH)||2400-00
10||PREFECTURE DE POLICE||5506||75||Et. pub. local et BA des Collectiv. territoriales et des EPL||Préfecture de Police de Paris||0438-00
10||SAN DU VAL D'EUROPE||2802||77||Et. pub. local et BA des Collectiv. territoriales et des EPL||Syndicat d'agglomération nouvelle||0404-00
10||SEML MARNE CHANTEREINE CHELLES AMENAGEMENT - M2CA (ex. SEML CHELLES AVENIR)||507||77||Société (SEM)||SEM||1110-00
10||SERVICE DEPARTEMENTAL INCENDIE ET SECOURS  SEINE ET MARNE (SDIS 77)||605||77||Et. pub. local et BA des Collectiv. territoriales et des EPL||Service départemental d'incendie et de secours||0434-00
10||SMX AGENCE GESTION DEVELOPPEMENT INFORMATIQUE AGEDI||2305||77||Et. pub. local et BA des Collectiv. territoriales et des EPL||Syndicat mixte communal (L5711.1 CGCT)||0421-20
10||SMX CENTRE BRIE ASS NON COLLECTIF (SMCBANC)||298||77||Et. pub. local et BA des Collectiv. territoriales et des EPL||Syndicat mixte communal (L5711.1 CGCT)||0421-20
10||SVM ECQUEVILLY BOUAFLE FLINS CHAPET||2761||78||Et. pub. local et BA des Collectiv. territoriales et des EPL||Syndicat à vocation multiple||0422-00
10||SVM HOUDAN||2751||78||Et. pub. local et BA des Collectiv. territoriales et des EPL||Syndicat à vocation multiple||0422-00
10||SVU ASS MAROLLES ST VRAIN||2051||91||Et. pub. local et BA des Collectiv. territoriales et des EPL||Syndicat à vocation unique||0421-10
10||SVU ASS SAILLY BRUEIL AINCOURT||2175||78||Et. pub. local et BA des Collectiv. territoriales et des EPL||Syndicat à vocation unique||0421-10
10||SVU ENSEIGNEMENT TECHNIQUE SIET||1828||94||Et. pub. local et BA des Collectiv. territoriales et des EPL||Syndicat à vocation unique||0421-10
10||SVU INTERDEP ASST AGGLOMERATION PARISIENNE (SID) (SIAAP)||2669||75||Et. pub. local et BA des Collectiv. territoriales et des EPL||Syndicat à vocation unique||0421-10
10||SVU LYCEE LA QUEUE LEZ YVELINES (SILY)||2143||78||Et. pub. local et BA des Collectiv. territoriales et des EPL||Syndicat à vocation unique||0421-10
10||SVU MAISON DE BORNAGE DE L'EAU||2296||77||Et. pub. local et BA des Collectiv. territoriales et des EPL||Syndicat à vocation unique||0421-10
10||SVU POUR LE CONSERVATOIRE NATIONAL DE REGION D'AUBERVILLIERS - LA COURNEUVE||1874||93||Et. pub. local et BA des Collectiv. territoriales et des EPL||Syndicat à vocation unique||0421-10
10||SVU REG PED RAMPILLON VANVILLE||2389||77||Et. pub. local et BA des Collectiv. territoriales et des EPL||Syndicat à vocation unique||0421-10
10||SVU RESTAURATION SCOLAIRE ACCUEIL POST PERISCOLAIRE CHAMPDEUIL CRISENOY||6064||77||Et. pub. local et BA des Collectiv. territoriales et des EPL||Syndicat à vocation unique||0421-10
10||SVU SECTEUR BRETIGNY LEUDEVILLE PLESSI PATE VERT LE GRAND||1976||91||Et. pub. local et BA des Collectiv. territoriales et des EPL||Syndicat à vocation unique||0421-10
10||SVU TRANSPORTS REGULIERS AUBETIN MORIN YERRES (STAC - Ex. TRAMY)||319||77||Et. pub. local et BA des Collectiv. territoriales et des EPL||Syndicat à vocation unique||0421-10
10||SYNDICAT TRANSPORT ILE DE FRANCE (STIF) (SID)||6224||75||Et. pub. local et BA des Collectiv. territoriales et des EPL||Syndicat à vocation unique||0421-10
10||UNIVERSITE PARIS VIII (PARIS-VINCENNES) (EPN)||4472||93||Et. pub. à caractère scientifique et culturel professionnel||Université||2300-00
10||VILLE DE PARIS||4125||75||Commune||Commune / BP||0101-00
18||ARENA LOIRE TRELAZE||6984||49||Etablissement public de coopération culturelle||Etablissement public à caractère industriel et commercial||2500-00
18||ASA DEFENSE CONTRE LA MER VALLEE DU LAY||5781||85||Et. pub. local et BA des Collectiv. territoriales et des EPL||Association Syndicale Autorisée||0436-10
18||CCAS DE REZE||794||44||Et. pub. local et BA des Collectiv. territoriales et des EPL||Centre communal d'action sanitaire et sociale||0431-10
18||CENTRE HOSPITALIER DE SAUMUR||665||49||Et. sanit. et sociaux et ESMS-BP et BA||Centres Hospitaliers Généraux (Budget Principal)||0503-00
18||COMMUNAUTE DE COMMUNES DE PORNIC||1733||44||Et. pub. local et BA des Collectiv. territoriales et des EPL||Communauté de communes||0403-00
18||COMMUNAUTE DE COMMUNES DES PORTES DU MAINE||1637||72||Et. pub. local et BA des Collectiv. territoriales et des EPL||Communauté de communes||0403-00
18||COMMUNAUTE DE COMMUNES DU PAYS CALAISIEN||1630||72||Et. pub. local et BA des Collectiv. territoriales et des EPL||Communauté de communes||0403-00
18||COMMUNAUTE DE COMMUNES DU PAYS MALICORNAIS||1619||72||Et. pub. local et BA des Collectiv. territoriales et des EPL||Communauté de communes||0403-00
18||COMMUNAUTE DE COMMUNES ISLES MARAIS POITEVIN||1585||85||Et. pub. local et BA des Collectiv. territoriales et des EPL||Communauté de communes||0403-00
18||COMMUNAUTE DE COMMUNES OCEAN MARAIS DE MONTS||1595||85||Et. pub. local et BA des Collectiv. territoriales et des EPL||Communauté de communes||0403-00
18||COMMUNE DE BAUNE||3039||49||Commune||Commune / BP||0101-00
18||COMMUNE DE BELGEARD||2668||53||Commune||Commune / BP||0101-00
18||COMMUNE DE CHAMPFREMONT||2646||53||Commune||Commune / BP||0101-00
18||COMMUNE DE CHANGE LES LAVAL||2644||53||Commune||Commune / BP||0101-00
18||COMMUNE DE CONLIE||2350||72||Commune||Commune / BP||0101-00
18||COMMUNE DE GORGES||3215||44||Commune||Commune / BP||0101-00
18||COMMUNE DE LA REMAUDIERE||3138||44||Commune||Commune / BP||0101-00
18||COMMUNE DE LE GREZ||2296||72||Commune||Commune / BP||0101-00
18||COMMUNE DE LE LANGON||1946||85||Commune||Commune / BP||0101-00
18||COMMUNE DE LE MAY SUR EVRE||2872||49||Commune||Commune / BP||0101-00
18||COMMUNE DE MANSIGNE||2259||72||Commune||Commune / BP||0101-00
18||COMMUNE DE MULSANNE||2229||72||Commune||Commune / BP||0101-00
18||COMMUNE DE MURS ERIGNE||2845||49||Commune||Commune / BP||0101-00
18||COMMUNE DE PRUILLE L'EGUILLE||2195||72||Commune||Commune / BP||0101-00
18||COMMUNE DE REZE||3136||44||Commune||Commune / BP||0101-00
18||COMMUNE DE SAINT AUGUSTIN DES BOIS||2803||49||Commune||Commune / BP||0101-00
18||COMMUNE DE SAINT VALERIEN||1809||85||Commune||Commune / BP||0101-00
18||COMMUNE DE SERMAISE||2739||49||Commune||Commune / BP||0101-00
18||COMMUNE DE SURFONDS||2100||72||Commune||Commune / BP||0101-00
18||COMMUNE DE TALMONT SAINT HILAIRE||1797||85||Commune||Commune / BP||0101-00
18||COMMUNE D'HERIC||3206||44||Commune||Commune / BP||0101-00
18||HOPITAL LOCAL SAINT ALEXANDRE DE MORTAGNE SUR SEVRE||373||85||Et. sanit. et sociaux et ESMS-BP et BA||Hôpitaux locaux (Budget Principal)||0505-00
18||LE MANS METROPOLE (COMMUNAUTE URBAINE DU MANS)||1646||72||Et. pub. local et BA des Collectiv. territoriales et des EPL||Communauté urbaine||0401-00
18||LYCEE D'ENSEIGNEMENT GENERAL ET TECHNOLOGIQUE REAUMUR A LAVAL||3446||53||Et. pub. local d'enseignement||Lycée||1320-00
18||SIDERM (SIAEP DE LA REGION MANCELLE)||1131||72||Et. pub. local et BA des Collectiv. territoriales et des EPL||Syndicat à vocation unique||0421-10
18||SIVOM DE BEAUMONT SUR SARTHE||1648||72||Et. pub. local et BA des Collectiv. territoriales et des EPL||Syndicat à vocation multiple||0422-00
18||SYCODEM Sud vendee||968||85||Et. pub. local et BA des Collectiv. territoriales et des EPL||Syndicat mixte communal (L5711.1 CGCT)||0421-20
21||AFR de Freissinières||6324||05||Et. pub. local et BA des Collectiv. territoriales et des EPL||Association Foncière Rurale||0436-30
21||caisse des écoles de Contes||664||06||Et. pub. local et BA des Collectiv. territoriales et des EPL||Caisse des Ecoles||0432-00
21||caisse des écoles de la Trinité||650||06||Et. pub. local et BA des Collectiv. territoriales et des EPL||Caisse des Ecoles||0432-00
21||centre communal d'action sociale de Cannes||718||06||Et. pub. local et BA des Collectiv. territoriales et des EPL||Centre communal d'action sanitaire et sociale||0431-10
21||centre communal d'action sociale de Contes||714||06||Et. pub. local et BA des Collectiv. territoriales et des EPL||Centre communal d'action sanitaire et sociale||0431-10
